id_tempo,data,ano,mes,dia
0,2024-01-07,2024,1,7
1,2024-01-11,2024,1,11
2,2024-01-30,2024,1,30
3,2024-01-14,2024,1,14
4,2024-01-02,2024,1,2
5,2024-01-18,2024,1,18
6,2024-01-09,2024,1,9
7,2024-01-19,2024,1,19
8,2024-01-28,2024,1,28
9,2024-01-13,2024,1,13
10,2024-01-05,2024,1,5
11,2024-01-26,2024,1,26
12,2024-01-04,2024,1,4
13,2024-01-22,2024,1,22
14,2024-01-24,2024,1,24
15,2024-01-15,2024,1,15
16,2024-01-10,2024,1,10
17,2024-01-23,2024,1,23
18,2024-01-12,2024,1,12
19,2024-01-17,2024,1,17
20,2024-01-16,2024,1,16
21,2024-01-08,2024,1,8
22,2024-01-20,2024,1,20
23,2024-01-06,2024,1,6
24,2024-01-21,2024,1,21
25,2024-01-27,2024,1,27
26,2024-01-29,2024,1,29
27,2024-01-01,2024,1,1
28,2024-01-25,2024,1,25
